prod_no,fix_time,a_speed,b_speed,separation,s_separation,rate_terms,mpa,load_time,highpressure_time,c_thickness
90784-76001,86.1,0.611,1.715,244.1,657.3,94,78.2,18.1,59,22.9
90784-76001,86.1,0.606,1.699,242.4,657.4,94,78.7,18.1,60,24.5
90784-76001,88.1,0.614,1.7,238.5,656.9,94,78.5,18.2,56,28.9
90784-76001,85.9,0.603,1.703,241.7,655.4,94,78.6,18.1,84,27.2
90784-76001,86.1,0.61,1.721,243.6,657.3,94,78.6,18.1,64,23.4
90784-76001,86.3,0.61,1.712,242.3,657.9,94,78.6,18.1,58,24.1
90784-76001,86.3,0.611,1.7,243.3,657.3,95,78.6,18.1,78,23.7
90784-76001,86.1,0.61,1.712,243.4,657.6,95,78.7,18.1,61,23.3
90784-76001,86.1,0.613,1.71,242.8,656.9,95,78.6,18.2,65,24.6
90784-76001,85.8,0.612,1.712,239.7,656.7,94,78.6,18.1,57,27.9
90784-76001,86.1,0.608,1.712,243.5,657,94,78.5,18.2,54,23.8
90784-76001,86.3,0.609,1.715,243.9,657.5,94,78.5,18.1,59,22.9
90784-76001,86.2,0.606,1.703,241,656.8,95,78.6,18.2,58,26.5
90784-76001,86.2,0.606,1.713,240.5,656.3,94,78.5,18.1,53,27.5
90784-76001,86.1,0.615,1.702,244.4,657.5,94,78.4,18.2,62,22.4
90784-76001,85.6,0.612,1.707,243.6,657.7,94,78.6,18.1,58,23
90784-76001,85.6,0.608,1.698,244,656.8,94,78.3,18.2,57,23.5
90784-76001,85.7,0.614,1.699,239.7,657.4,94,78.7,18.1,58,27.2
90784-76001,85.7,0.609,1.706,244.6,656.8,94,78.6,18.2,54,22.9
90784-76001,86,0.614,1.699,243.4,657.4,94,78.7,18.1,56,23.5
90784-76001,86,0.604,1.711,241.8,657.5,94,78.8,18.2,57,25
90784-76001,86.1,0.61,1.708,243.1,657.5,94,78.7,18.2,52,23.7
90784-76001,86.4,0.615,1.705,242.2,657.6,94,78.7,18.2,79,24.5
90784-76001,86.4,0.604,1.697,243.7,657.9,94,78.7,18.2,56,22.7
90784-76001,86.1,0.611,1.702,239.5,657.4,93,78.7,18.2,55,27.4
90784-76001,86,0.609,1.695,243.2,657.4,94,78.7,18.2,58,23.7
90784-76001,85.8,0.612,1.691,256,657.3,94,76.9,18.1,53,11
90784-76001,86.4,0.61,1.68,244.5,657.9,94,78.5,18.2,58,21.9
90784-76001,86.8,0.604,1.682,244,657.3,94,78.7,18.1,53,23
90784-76001,86.8,0.607,1.686,240.5,656.9,94,78.7,18.2,52,26.9
90784-76001,86.6,0.606,1.659,242.2,657.1,94,79,18.1,53,25
90784-76001,86.2,0.604,1.645,243.4,656.9,94,78.4,18.1,62,24
90784-76001,86.1,0.609,1.665,244.8,657.4,94,78.3,18.1,51,22.1
90784-76001,86.3,0.604,1.661,248.8,657.1,95,78.2,18.1,74,18.4
90784-76001,86.4,0.604,1.654,245.5,656.9,94,78.6,18.1,59,21.9
90784-76001,86.4,0.608,1.65,243.8,657.1,94,78.8,18.1,57,23.4
90784-76001,86.7,0.603,1.665,247.2,657.4,94,78.2,18.1,56,19.7
90784-76001,86.1,0.606,1.659,248.2,657.1,94,77.9,18.1,72,19
90784-76001,85.4,0.604,1.658,227.3,657.8,94,24.9,18.1,62,39.2
90784-76001,85.4,0.474,1.7,249.8,657,94,28.2,18.1,62,42.7
90784-76001,85.5,0.472,1.7,249.8,657,94,28.2,18.1,62,39.1
90784-76001,85.3,0.473,1.7,249.8,657,94,28.2,18.1,62,36.5
90784-76001,85.3,0.472,1.7,249.8,657,94,28.3,18.2,62,39.2
90784-76001,85.4,0.474,1.7,249.8,657,94,28.2,18,62,35.7
90784-76001,85.4,0.47,1.7,249.8,657,94,28.1,0,62,37.9
90784-76001,88.1,0.608,1.7,249.8,657,93,76.2,18.2,62,17.5
90784-76001,88.1,0.607,1.705,242.9,657.4,93,76.9,18.2,65,24
90784-76001,92.1,0.6,1.678,243,657.4,95,76.4,18.1,72,23.9
90784-76001,85.6,0.603,1.667,241.5,656.6,95,76.7,18.2,64,26.2
90784-76001,85.5,0.604,1.684,232.4,657.2,94,25.1,18.2,58,34.7
90784-76001,85.7,0.472,1.712,246.7,655.9,94,28.3,18.1,58,39.4
90784-76001,89.1,0.474,1.712,246.7,655.9,94,28.2,0,58,38.6
90784-76001,89.1,0.608,1.67,245.4,656.9,95,77,18.1,68,22
90784-76001,85.7,0.611,1.697,241.7,656.8,95,77.3,18.1,63,25.8
90784-76001,85.8,0.604,1.703,244.8,656.6,95,77.1,18.2,58,22.9
90784-76001,85.8,0.61,1.712,244.5,657.1,95,77.4,18.2,62,22.7
90784-76001,88.3,0.603,1.71,242.7,657.2,95,77.2,18.1,63,24.4
90784-76001,85.2,0.606,1.723,244.5,656.8,95,77,18.2,55,23
90784-76001,85.2,0.603,1.71,239.9,656.9,95,77.3,18.2,61,27.5
90784-76001,85.4,0.603,1.714,239.9,657.2,95,77.4,18.1,55,27.2
90784-76001,85.5,0.607,1.695,243.3,656.8,95,77.2,18.1,57,24.2
90784-76001,85.5,0.609,1.709,241.3,657.1,95,77.5,18.2,54,25.9
90784-76001,85.6,0.607,1.713,249.7,656.6,95,77,18.2,54,18
90784-76001,85.3,0.606,1.7,241.3,657.1,95,77.3,18.1,68,25.9
90784-76001,85.5,0.604,1.721,243,657.7,95,77.4,18.1,61,23.6
90784-76001,86.1,0.604,1.713,243.6,656.8,95,77.2,18.2,51,23.9
90784-76001,86.1,0.602,1.726,242.9,657.4,95,77.5,18.1,62,24
90784-76001,87.2,0.607,1.697,243.2,655.5,95,77.4,18.2,55,25.6
90784-76001,87.2,0.604,1.716,239.6,657.3,95,77.7,18.1,60,27.4
90784-76001,92.3,0.614,1.724,242.1,657.3,95,77.4,18.1,60,24.9
90784-76001,86.6,0.607,1.709,240.8,656.6,95,77.2,18.2,59,26.9
90784-76001,86.2,0.606,1.715,243.5,655.6,95,77.4,18.2,81,25.2
90784-76001,87.4,0.61,1.726,240.7,657.1,95,77.4,18.1,65,26.5
90784-76001,86,0.608,1.719,246,657.1,95,77.3,18.1,62,21.2
90784-76001,86,0.603,1.717,241.9,656.7,95,77.4,18.1,59,25.7
90784-76001,86.2,0.608,1.731,243.3,657.2,95,77.6,18.1,58,23.8
90784-76001,86.2,0.604,1.726,243.1,657.2,95,77.8,18.1,54,24
90784-76001,89.7,0.6,1.719,244.7,657.4,95,77.4,18.2,65,22.2
90784-76001,86.5,0.612,1.724,243,656.6,95,77.3,18.1,64,24.7
90784-76001,86.1,0.607,1.713,241.7,656.9,95,77.4,18.2,62,25.7
90784-76001,86.1,0.602,1.708,243.1,657.1,95,77.7,18.2,59,24.1
90784-76001,86.2,0.602,1.706,242.5,657.5,95,77.6,18.2,53,24.3
90784-76001,86.2,0.603,1.719,242.4,657,95,77.4,18.2,58,24.9
90784-76001,86.3,0.604,1.721,245.3,656.4,95,77.5,18.2,64,22.6
90784-76001,86.5,0.603,1.701,247.5,655.1,95,77.3,18.2,61,21.7
90784-76001,86.2,0.606,1.699,245.5,655.9,94,77.7,18.2,55,22.9
90784-76001,86.3,0.612,1.697,237.8,657.3,95,77.8,18.1,52,29.2
90784-76001,86.5,0.599,1.714,242.4,656.6,95,77.1,18.2,56,25.3
90784-76001,86.8,0.596,1.7,241.2,656.9,95,77.4,18.2,54,26.2
90784-76001,86.3,0.602,1.706,245.2,655.5,95,77.4,18.1,65,23.6
90784-76001,86.1,0.602,1.675,251.4,655.4,95,76.2,18.9,53,17.5
90784-76001,86.1,0.606,1.68,255.6,657.3,95,75,18.2,66,11.4
90784-76001,85.1,0.611,1.593,227,654.9,95,25.2,18.1,57,42.4
90784-76001,85.6,0.55,1.66,249.6,633.6,95,25.1,18.1,57,41.1
90784-76001,85.3,0.472,1.673,253.3,655.5,95,28.5,18.1,57,37.8
90784-76001,85.4,0.469,1.673,253.3,655.5,95,28.4,18.8,57,37.4
90784-76001,85.4,0.477,1.673,253.3,655.5,94,28.1,18,57,7.2
90784-76001,86.3,0.47,1.673,253.3,655.5,94,28.2,0,57,33.7
90784-76001,86.3,0.604,1.649,242.4,656.4,89,77.6,18.2,52,25.6
90784-76001,85.9,0.602,1.673,240.5,655.3,88,78,18.1,56,28.6
90784-76001,88.4,0.607,1.658,243.1,657.4,89,77.8,18.2,59,23.9
90784-76001,86.2,0.597,1.66,244.8,656.4,89,77.5,18.2,59,23.2
90784-76001,86.8,0.6,1.648,246.3,655.1,89,77.5,18.2,60,23
90784-76001,85.8,0.601,1.639,244.2,655.8,88,77.1,18.2,62,24.4
90784-76001,86,0.603,1.641,231.1,656.6,88,25.2,18.2,62,36.7
90784-76001,85.6,0.465,1.668,243.6,657.3,88,28.5,18.2,62,38.2
90784-76001,85.6,0.461,1.668,243.6,657.3,88,28.5,18.2,62,36
90784-76001,85.6,0.474,1.668,243.6,657.3,88,28.4,0,62,37.2
90784-76001,92.6,0.603,1.668,243.6,657.3,89,77.4,0,62,23.5
90784-76001,88.3,0.604,1.643,245,657.4,89,77.5,18.2,58,22
90784-76001,92.6,0.597,1.668,246.1,655.7,89,77.5,18.2,60,22.6
90784-76001,86.7,0.599,1.651,248,656.8,89,77,18.1,63,19.6
90784-76001,85.3,0.6,1.658,229.2,656.4,88,25.2,18.2,62,38.8
90784-76001,85.4,0.47,1.642,253.4,657.3,89,28.5,18.2,62,39.1
90784-76001,85.5,0.471,1.642,253.4,657.3,88,28.5,18.1,62,42.3
90784-76001,72.5,0.471,1.642,253.4,657.3,89,28.5,0,62,38
90784-76001,87,0.6,1.642,253.4,657.3,89,77.8,18.1,62,13.7
